"'IMARIA","teso",3
"A KEMEI","kalenjin",3
"A'KERICH","kalenjin",3
"AARAUNGU","kisii",3
"ABACH","luo",3
"ABADA","luo",3
"ABADATA","luhya",3
"ABADELA","luhya",3
"ABADHA","luo",3
"ABADIBA","nubi",3
"ABAGA","luo",3
"ABAGUDOO","luhya",3
"ABAKALWA","luhya",3
"ABALAGA","luhya",3
"ABALLA","luo",3
"ABANDA","luo",3
"ABANJA","luo",3
"ABASHEKU","luhya",3
"ABASS","muslim",3
"ABAYA","luo",3
"ABAYO","luo",3
"ABBAS","muslim",3
"ABBIRAHMAN","muslim",3
"ABDALAH","muslim",3
"ABDALLA.","muslim",3
"ABDARAMAN","arab",3
"ABDINOOR","nubi",3
"ABDINUR","muslim",3
"ABDIRASHID","muslim",3
"ABDISHEIKH","somali",3
"ABDIWAHID","somali",3
"ABDO","muslim",3
"ABDUL         Z","muslim",3
"ABDULAI","muslim",3
"ABDULATIF","muslim",3
"ABDULGAFOOR","arab",3
"ABDULHAKIM","arab",3
"ABDULKARIM","somali",3
"ABDULLA","muslim",3
"ABDULLAA","muslim",3
"ABDULLAH","muslim",3
"ABDULLAHI","muslim",3
"ABDULLAI","somali",3
"ABDULLO","muslim",3
"ABDULRAHAMAN","muslim",3
"ABDURAHMAN","muslim",3
"ABDURAMAN","arab",3
"ABER","luo",3
"ABGUDO","luo",3
"ABIBI","luo",3
"ABIBO","luhya",3
"ABICH","luo",3
"ABIERO","luo",3
"ABIKAR","muslim",3
"ABIL","luo",3
"ABILLAH","luo",3
"ABINCHA","luhya",3
"ABISAI","luo",3
"ABOKE","luo",3
"ABOKI","luhya",3
"ABOLO","luo",3
"ABOMA","luhya",3
"ABOMBA","luhya",3
"ABONG","luo",3
"ABONGA","luo",3
"ABOOK","luo",3
"ABORO","luo",3
"ABOTH","luo",3
"ABOULLAHI","muslim",3
"ABRORO","luo",3
"ABUD","arab",3
"ABUDO","luo",3
"ABUGA","luo",3
"ABUGAH","luhya",3
"ABUHEBWA","luhya",3
"ABUKALE","luhya",3
"ABULALA","luhya",3
"ABULAMUSI","luhya",3
"ABULI      '","luhya",3
"ABUNA","luo",3
"ABUNG'ANA","luhya",3
"ABUNGANA","luhya",3
"ABUNO","luo",3
"ABUO","luo",3
"ABUODHA","luo",3
"ABUOM","luo",3
"ABUOR    KK","luo",3
"ABURA","luo",3
"ABURA         I","luo",3
"ABUREBE","luhya",3
"ABURU","luo",3
"ABUSHIR","muslim",3
"ABUSHIRA","luhya",3
"ABUTO","luo",3
"ABUTSIE","luhya",3
"ABUTTO","luo",3
"ABUYA","luhya",3
"ABUYABO","luhya",3
"ABUYEKA","luhya",3
"ABWACHI","luhya",3
"ABWALABA","luhya",3
"ABWASI","luhya",3
"ABWAZA","luhya",3
"ABWIRE","luhya",3
"ABWOR","luo",3
"ABWORO","luo",3
"ABWOTO","luo",3
"ABYSHAI","luhya",3
"ACHACHI","luhya",3
